feature,f_score,p_value
Elevation,6113.844003901181,0.0
Wilderness_Area4,1852.1804530805068,0.0
Horizontal_Distance_To_Roadways,487.3259069576182,0.0
Soil_Type3,371.04508004239796,0.0
Soil_Type10,349.74207719969684,0.0
Wilderness_Area1,324.1090069999368,0.0
Soil_Type38,301.8777491207529,0.0
Horizontal_Distance_To_Fire_Points,286.35789416984727,9.773e-321
Soil_Type39,250.89057590651188,5.9557684480165425e-285
Wilderness_Area3,171.04154255825893,2.3569746651609304e-200
Hillshade_9am,168.55000569015453,1.2811317555388821e-197
Horizontal_Distance_To_Hydrology,146.6029687258958,2.9153150067216818e-173
Soil_Type30,142.0109330023942,4.184757213730347e-168
Soil_Type40,139.90528921659805,9.851091391599448e-166
Soil_Type29,122.16338585335068,1.437827995502862e-145
Slope,115.48156199030441,6.853828606764856e-138
Soil_Type4,105.80516489076031,1.09111026963256e-126
Hillshade_3pm,89.49252247797375,1.397236916194186e-107
Soil_Type22,81.45771160254829,4.570169095787621e-98
Soil_Type17,75.64188034187802,3.8845858440090865e-91
Soil_Type23,71.24806323522009,7.045926871840392e-86
Soil_Type13,70.9440786567515,1.631153706139552e-85
Soil_Type2,69.21049676524268,1.964901206142148e-83
Soil_Type12,65.68266872279484,3.446780509378306e-79
Soil_Type6,59.61296955549177,7.397193927949853e-72
Wilderness_Area2,55.81777798166587,2.964742753858549e-67
Hillshade_Noon,47.29295273133891,7.266459828489847e-57
Soil_Type32,43.569305457676634,2.629951686820402e-52
Soil_Type14,34.9897874229891,9.225157344979145e-42
Soil_Type1,34.02550183771716,1.4233265756791264e-40
Soil_Type33,31.09156892621332,5.915509998827107e-37
Soil_Type35,29.925791443197443,1.625359867471052e-35
Aspect,28.43392921931488,1.1300877341571682e-33
Soil_Type24,27.197090362919226,3.809168931165639e-32
Soil_Type31,25.989894204958173,1.1808423474478077e-30
Vertical_Distance_To_Hydrology,23.809968376330808,5.826337121529241e-28
Soil_Type11,21.00954361574858,1.6743757043389695e-24
Soil_Type5,18.532618986143966,1.9015765814514886e-21
Soil_Type37,10.11392405063248,3.7709416476400674e-11
Soil_Type26,9.98625916262897,5.3759740168307404e-11
Soil_Type18,9.986259162628821,5.3759740168329596e-11
Soil_Type20,8.643516322573795,2.2023766154676332e-09
Soil_Type16,5.4076666090662675,1.3895332007555312e-05
Soil_Type19,4.943152635756681,4.700521626876286e-05
Soil_Type36,4.015075376884332,0.0005118957689072402
Soil_Type9,3.0075282308656206,0.006176059713844427
Soil_Type34,2.7870796707129757,0.01043698483280001
Soil_Type28,2.25423197492164,0.035563575139490045
Soil_Type21,2.2542319749216286,0.03556357513948995
Soil_Type27,2.0025062656642434,0.061825265632142835
Soil_Type8,1.0000000000000373,0.4233101857515608
Soil_Type25,1.0000000000000224,0.42331018575157076
Soil_Type7,,
Soil_Type15,,
