feature,f_score,p_value
mean_MFCC_2nd_coef,118.11370579862866,3.055556237138711e-25
tqwt_kurtosisValue_dec_27,112.8332512433366,2.8516416468061624e-24
tqwt_kurtosisValue_dec_26,99.45575520615607,8.847591321993529e-22
std_9th_delta_delta,99.39172295709983,9.096474372014366e-22
std_8th_delta_delta,98.34080310391049,1.43475620961325e-21
std_7th_delta_delta,93.06106408339879,1.4317895152339286e-20
std_6th_delta_delta,91.99273560048009,2.2857829426325902e-20
tqwt_stdValue_dec_12,87.73063690071409,1.4890291026293385e-19
std_8th_delta,86.83761696681692,2.2086175569616407e-19
std_9th_delta,85.54144467644767,3.9179937618299883e-19
tqwt_minValue_dec_12,84.78031091210829,5.488905649601314e-19
tqwt_maxValue_dec_12,82.15903689173103,1.7583689026769204e-18
std_6th_delta,80.98706863353691,2.9638836104284747e-18
tqwt_entropy_log_dec_12,77.35725446537893,1.502733432427937e-17
tqwt_stdValue_dec_11,77.35016499643842,1.5075197474701556e-17
std_11th_delta_delta,77.18941916023276,1.620247374933968e-17
std_7th_delta,76.04579605826426,2.70789909510532e-17
tqwt_entropy_shannon_dec_16,74.68107510845066,5.004425745427493e-17
std_10th_delta_delta,73.46142387497413,8.674241906039886e-17
tqwt_entropy_shannon_dec_15,72.96457972452798,1.0856259227801091e-16
tqwt_minValue_dec_13,72.7118705594725,1.216959750588089e-16
tqwt_stdValue_dec_13,72.04059086120508,1.6486214263945093e-16
f1,71.71208541100704,1.9129154343264426e-16
tqwt_stdValue_dec_15,70.4629963006226,3.3694183552598457e-16
tqwt_maxValue_dec_13,70.22880050899363,3.7472196945180985e-16
tqwt_maxValue_dec_11,68.38820355684521,8.651261680386914e-16
numPeriodsPulses,67.5581323178021,1.2627640750131159e-15
numPulses,67.46166691125813,1.319545729689058e-15
std_delta_delta_log_energy,65.85634838163007,2.746461835178607e-15
tqwt_entropy_shannon_dec_13,65.624821055223,3.053231037595699e-15
tqwt_stdValue_dec_16,64.84106687898546,4.370842790995723e-15
app_det_TKEO_mean_10_coef,64.35069992614244,5.4721009579537845e-15
app_det_TKEO_mean_8_coef,64.21996771511549,5.810123039296195e-15
app_det_TKEO_mean_9_coef,64.20468896904542,5.8509716964117015e-15
app_entropy_shannon_10_coef,64.09327875546381,6.1576795204595915e-15
app_entropy_shannon_5_coef,64.07680490385836,6.204381150943446e-15
app_entropy_shannon_6_coef,64.07561148409683,6.207778148843466e-15
app_entropy_shannon_9_coef,64.06412459326036,6.240570512283918e-15
app_TKEO_std_10_coef,64.05673655628198,6.261753439157947e-15
app_entropy_shannon_8_coef,64.05068238498241,6.2791657101111306e-15
app_entropy_shannon_7_coef,64.03601612879352,6.321548759967303e-15
app_TKEO_std_7_coef,64.03246372380842,6.331857749144704e-15
std_11th_delta,64.02817985016065,6.344311889261153e-15
app_entropy_shannon_4_coef,63.98089404193406,6.483426404126644e-15
